year_month,count
2011-11-01,368
2011-12-01,5
2012-01-01,13
2012-02-01,13
2012-03-01,7
2012-04-01,7
2012-05-01,5
2012-06-01,3
2012-07-01,6
2012-08-01,4
2012-09-01,3
2012-10-01,4
2012-11-01,1
2012-12-01,6
2013-01-01,2
2013-02-01,28
2013-03-01,52
2013-04-01,71
2013-05-01,109
2013-06-01,73
2013-07-01,289
2013-08-01,231
2013-09-01,144
2013-10-01,134
2013-11-01,151
2013-12-01,170
2014-01-01,264
2014-02-01,184
2014-03-01,187
2014-04-01,149
2014-05-01,144
2014-06-01,155
2014-07-01,161
2014-08-01,193
2014-09-01,187
2014-10-01,170
2014-11-01,155
2014-12-01,143
2015-01-01,162
2015-02-01,137
2015-03-01,163
2015-04-01,151
2015-05-01,102
2015-06-01,117
2015-07-01,126
2015-08-01,120
2015-09-01,109
2015-10-01,93
2015-11-01,86
2015-12-01,98
2016-01-01,105
2016-02-01,92
2016-03-01,114
2016-04-01,99
2016-05-01,127
2016-06-01,101
2016-07-01,112
2016-08-01,123
2016-09-01,100
2016-10-01,105
2016-11-01,90
2016-12-01,98
2017-01-01,80
2017-02-01,110
2017-03-01,123
2017-04-01,131
2017-05-01,119
2017-06-01,115
2017-07-01,79
2017-08-01,94
2017-09-01,70
2017-10-01,85
2017-11-01,78
2017-12-01,90
2018-01-01,75
2018-02-01,74
2018-03-01,87
2018-04-01,81
2018-05-01,75
2018-06-01,65
2018-07-01,81
2018-08-01,69
2018-09-01,52
2018-10-01,72
2018-11-01,80
2018-12-01,63
2019-01-01,69
2019-02-01,64
2019-03-01,76
2019-04-01,70
2019-05-01,64
2019-06-01,44
2019-07-01,56
2019-08-01,68
2019-09-01,72
2019-10-01,50
2019-11-01,55
2019-12-01,69
2020-01-01,56
2020-02-01,47
2020-03-01,33
2020-04-01,23
2020-05-01,39
2020-06-01,47
2020-07-01,37
2020-08-01,30
2020-09-01,36
2020-10-01,45
2020-11-01,47
2020-12-01,37
2021-01-01,28
2021-02-01,36
2021-03-01,26
2021-04-01,27
2021-05-01,19
2021-06-01,26
2021-07-01,23
2021-08-01,18
2021-09-01,24
2021-10-01,21
2021-11-01,25
2021-12-01,34
2022-01-01,16
2022-02-01,20
2022-03-01,19
2022-04-01,32
2022-05-01,15
2022-06-01,27
2022-07-01,19
2022-08-01,23
2022-09-01,32
2022-10-01,27
2022-11-01,27
2022-12-01,18
2023-01-01,25
2023-02-01,15
2023-03-01,18
2023-04-01,19
2023-05-01,25
2023-06-01,17
