year_month,count
2013-04-01,134
2013-05-01,80
2013-06-01,20
2013-07-01,19
2013-08-01,31
2013-09-01,389
2013-10-01,98
2013-11-01,99
2013-12-01,154
2014-01-01,361
2014-02-01,1192
2014-03-01,700
2014-04-01,488
2014-05-01,378
2014-06-01,283
2014-07-01,281
2014-08-01,346
2014-09-01,342
2014-10-01,320
2014-11-01,314
2014-12-01,315
2015-01-01,368
2015-02-01,302
2015-03-01,275
2015-04-01,188
2015-05-01,198
2015-06-01,194
2015-07-01,684
2015-08-01,314
2015-09-01,279
2015-10-01,263
2015-11-01,211
2015-12-01,224
2016-01-01,272
2016-02-01,214
2016-03-01,277
2016-04-01,282
2016-05-01,219
2016-06-01,213
2016-07-01,273
2016-08-01,272
2016-09-01,203
2016-10-01,268
2016-11-01,221
2016-12-01,232
2017-01-01,265
2017-02-01,228
2017-03-01,298
2017-04-01,298
2017-05-01,261
2017-06-01,260
2017-07-01,222
2017-08-01,306
2017-09-01,223
2017-10-01,276
2017-11-01,193
2017-12-01,204
2018-01-01,295
2018-02-01,1850
2018-03-01,1187
2018-04-01,762
2018-05-01,343
2018-06-01,336
2018-07-01,252
2018-08-01,271
2018-09-01,272
2018-10-01,317
2018-11-01,334
2018-12-01,242
2019-01-01,281
2019-02-01,254
2019-03-01,312
2019-04-01,279
2019-05-01,265
2019-06-01,226
2019-07-01,266
2019-08-01,255
2019-09-01,239
2019-10-01,218
2019-11-01,254
2019-12-01,199
2020-01-01,207
2020-02-01,164
2020-03-01,214
2020-04-01,245
2020-05-01,244
2020-06-01,194
2020-07-01,364
2020-08-01,213
2020-09-01,175
2020-10-01,175
2020-11-01,174
2020-12-01,193
2021-01-01,241
2021-02-01,201
2021-03-01,236
2021-04-01,179
2021-05-01,246
2021-06-01,212
2021-07-01,221
2021-08-01,197
2021-09-01,203
2021-10-01,196
2021-11-01,201
2021-12-01,196
2022-01-01,207
2022-02-01,191
2022-03-01,185
2022-04-01,196
2022-05-01,208
2022-06-01,180
2022-07-01,207
2022-08-01,530
2022-09-01,249
2022-10-01,209
2022-11-01,176
2022-12-01,193
2023-01-01,176
2023-02-01,207
2023-03-01,226
2023-04-01,377
2023-05-01,354
2023-06-01,217
