year_month,count
2012-01-01,248
2012-02-01,12
2012-03-01,19
2012-04-01,11
2012-05-01,8
2012-06-01,7
2012-07-01,7
2012-08-01,2
2012-09-01,2
2012-10-01,2
2012-11-01,2
2012-12-01,2
2013-02-01,12
2013-03-01,30
2013-04-01,29
2013-05-01,29
2013-06-01,20
2013-07-01,20
2013-08-01,18
2013-09-01,20
2013-10-01,20
2013-11-01,22
2013-12-01,21
2014-01-01,35
2014-02-01,29
2014-03-01,27
2014-04-01,21
2014-05-01,23
2014-06-01,31
2014-07-01,26
2014-08-01,31
2014-09-01,36
2014-10-01,28
2014-11-01,25
2014-12-01,21
2015-01-01,18
2015-02-01,29
2015-03-01,32
2015-04-01,40
2015-05-01,35
2015-06-01,25
2015-07-01,32
2015-08-01,44
2015-09-01,37
2015-10-01,36
2015-11-01,35
2015-12-01,44
2016-01-01,44
2016-02-01,32
2016-03-01,37
2016-04-01,34
2016-05-01,38
2016-06-01,40
2016-07-01,36
2016-08-01,38
2016-09-01,43
2016-10-01,37
2016-11-01,40
2016-12-01,50
2017-01-01,54
2017-02-01,58
2017-03-01,61
2017-04-01,67
2017-05-01,51
2017-06-01,50
2017-07-01,58
2017-08-01,55
2017-09-01,75
2017-10-01,79
2017-11-01,69
2017-12-01,66
2018-01-01,68
2018-02-01,48
2018-03-01,62
2018-04-01,80
2018-05-01,75
2018-06-01,65
2018-07-01,61
2018-08-01,100
2018-09-01,55
2018-10-01,64
2018-11-01,93
2018-12-01,105
2019-01-01,127
2019-02-01,62
2019-03-01,82
2019-04-01,112
2019-05-01,134
2019-06-01,98
2019-07-01,76
2019-08-01,57
2019-09-01,44
2019-10-01,60
2019-11-01,51
2019-12-01,71
2020-01-01,74
2020-02-01,67
2020-03-01,60
2020-04-01,57
2020-05-01,51
2020-06-01,48
2020-07-01,55
2020-08-01,55
2020-09-01,49
2020-10-01,71
2020-11-01,51
2020-12-01,55
2021-01-01,47
2021-02-01,47
2021-03-01,59
2021-04-01,50
2021-05-01,55
2021-06-01,43
2021-07-01,31
2021-08-01,51
2021-09-01,48
2021-10-01,42
2021-11-01,45
2021-12-01,46
2022-01-01,63
2022-02-01,57
2022-03-01,66
2022-04-01,60
2022-05-01,48
2022-06-01,50
2022-07-01,51
2022-08-01,56
2022-09-01,53
2022-10-01,69
2022-11-01,49
2022-12-01,43
2023-01-01,59
2023-02-01,73
2023-03-01,52
2023-04-01,57
2023-05-01,54
2023-06-01,47
