year_month,count
2015-11-01,3009
2015-12-01,469
2016-01-01,183
2016-02-01,187
2016-03-01,176
2016-04-01,184
2016-05-01,148
2016-06-01,169
2016-07-01,140
2016-08-01,164
2016-09-01,163
2016-10-01,124
2016-11-01,105
2016-12-01,98
2017-01-01,77
2017-02-01,136
2017-03-01,157
2017-04-01,132
2017-05-01,99
2017-06-01,152
2017-07-01,148
2017-08-01,152
2017-09-01,107
2017-10-01,141
2017-11-01,175
2017-12-01,161
2018-01-01,200
2018-02-01,218
2018-03-01,179
2018-04-01,164
2018-05-01,174
2018-06-01,169
2018-07-01,173
2018-08-01,156
2018-09-01,170
2018-10-01,172
2018-11-01,161
2018-12-01,111
2019-01-01,133
2019-02-01,128
2019-03-01,165
2019-04-01,222
2019-05-01,175
2019-06-01,148
2019-07-01,129
2019-08-01,120
2019-09-01,102
2019-10-01,149
2019-11-01,75
2019-12-01,83
2020-01-01,94
2020-02-01,108
2020-03-01,117
2020-04-01,268
2020-05-01,190
2020-06-01,153
2020-07-01,125
2020-08-01,131
2020-09-01,119
2020-10-01,131
2020-11-01,132
2020-12-01,116
2021-01-01,123
2021-02-01,128
2021-03-01,192
2021-04-01,104
2021-05-01,99
2021-06-01,493
2021-07-01,153
2021-08-01,92
2021-09-01,84
2021-10-01,76
2021-11-01,100
2021-12-01,129
2022-01-01,83
2022-02-01,90
2022-03-01,110
2022-04-01,78
2022-05-01,101
2022-06-01,99
2022-07-01,79
2022-08-01,85
2022-09-01,79
2022-10-01,98
2022-11-01,87
2022-12-01,119
2023-01-01,92
2023-02-01,92
2023-03-01,113
2023-04-01,94
2023-05-01,99
2023-06-01,89
