year_month,count
2012-07-01,46
2012-08-01,1
2012-09-01,2
2013-01-01,1
2013-02-01,2
2013-03-01,7
2013-04-01,8
2013-05-01,5
2013-06-01,3
2013-07-01,3
2013-08-01,5
2013-09-01,7
2013-10-01,4
2013-11-01,5
2013-12-01,4
2014-01-01,6
2014-02-01,4
2014-03-01,7
2014-04-01,9
2014-05-01,14
2014-06-01,1
2014-07-01,8
2014-08-01,8
2014-09-01,6
2014-10-01,12
2014-11-01,10
2014-12-01,9
2015-01-01,9
2015-02-01,9
2015-03-01,10
2015-04-01,7
2015-05-01,5
2015-06-01,12
2015-07-01,14
2015-08-01,23
2015-09-01,11
2015-10-01,25
2015-11-01,25
2015-12-01,35
2016-01-01,15
2016-02-01,8
2016-03-01,26
2016-04-01,19
2016-05-01,26
2016-06-01,36
2016-07-01,23
2016-08-01,17
2016-09-01,17
2016-10-01,22
2016-11-01,39
2016-12-01,21
2017-01-01,87
2017-02-01,40
2017-03-01,27
2017-04-01,50
2017-05-01,33
2017-06-01,37
2017-07-01,71
2017-08-01,35
2017-09-01,39
2017-10-01,73
2017-11-01,55
2017-12-01,48
2018-01-01,56
2018-02-01,50
2018-03-01,86
2018-04-01,30
2018-05-01,47
2018-06-01,49
2018-07-01,58
2018-08-01,54
2018-09-01,58
2018-10-01,71
2018-11-01,54
2018-12-01,46
2019-01-01,65
2019-02-01,47
2019-03-01,57
2019-04-01,90
2019-05-01,46
2019-06-01,45
2019-07-01,62
2019-08-01,40
2019-09-01,37
2019-10-01,41
2019-11-01,57
2019-12-01,51
2020-01-01,46
2020-02-01,35
2020-03-01,52
2020-04-01,42
2020-05-01,48
2020-06-01,57
2020-07-01,61
2020-08-01,42
2020-09-01,39
2020-10-01,46
2020-11-01,42
2020-12-01,46
2021-01-01,53
2021-02-01,45
2021-03-01,48
2021-04-01,43
2021-05-01,37
2021-06-01,53
2021-07-01,41
2021-08-01,38
2021-09-01,39
2021-10-01,37
2021-11-01,30
2021-12-01,54
2022-01-01,33
2022-02-01,42
2022-03-01,49
2022-04-01,37
2022-05-01,32
2022-06-01,36
2022-07-01,41
2022-08-01,45
2022-09-01,37
2022-10-01,39
2022-11-01,39
2022-12-01,28
2023-01-01,45
2023-02-01,38
2023-03-01,39
2023-04-01,63
2023-05-01,52
2023-06-01,24
