year_month,count
2011-05-01,92
2011-06-01,4
2011-07-01,6
2011-08-01,2
2011-09-01,2
2011-10-01,7
2011-11-01,5
2011-12-01,4
2012-01-01,7
2012-02-01,2
2012-03-01,6
2012-04-01,3
2012-05-01,4
2012-06-01,4
2012-07-01,5
2012-09-01,3
2012-10-01,2
2013-01-01,1
2013-02-01,7
2013-03-01,6
2013-04-01,7
2013-05-01,8
2013-06-01,9
2013-07-01,12
2013-08-01,10
2013-09-01,21
2013-10-01,19
2013-11-01,15
2013-12-01,17
2014-01-01,22
2014-02-01,23
2014-03-01,18
2014-04-01,10
2014-05-01,20
2014-06-01,13
2014-07-01,10
2014-08-01,9
2014-09-01,19
2014-10-01,18
2014-11-01,22
2014-12-01,15
2015-01-01,21
2015-02-01,17
2015-03-01,23
2015-04-01,20
2015-05-01,14
2015-06-01,23
2015-07-01,21
2015-08-01,11
2015-09-01,21
2015-10-01,25
2015-11-01,31
2015-12-01,19
2016-01-01,26
2016-02-01,27
2016-03-01,38
2016-04-01,35
2016-05-01,25
2016-06-01,22
2016-07-01,35
2016-08-01,27
2016-09-01,34
2016-10-01,28
2016-11-01,28
2016-12-01,31
2017-01-01,40
2017-02-01,23
2017-03-01,41
2017-04-01,43
2017-05-01,35
2017-06-01,38
2017-07-01,40
2017-08-01,45
2017-09-01,44
2017-10-01,60
2017-11-01,63
2017-12-01,47
2018-01-01,35
2018-02-01,82
2018-03-01,65
2018-04-01,56
2018-05-01,54
2018-06-01,57
2018-07-01,52
2018-08-01,52
2018-09-01,38
2018-10-01,49
2018-11-01,64
2018-12-01,55
2019-01-01,54
2019-02-01,54
2019-03-01,65
2019-04-01,54
2019-05-01,58
2019-06-01,87
2019-07-01,86
2019-08-01,63
2019-09-01,76
2019-10-01,61
2019-11-01,73
2019-12-01,87
2020-01-01,76
2020-02-01,57
2020-03-01,93
2020-04-01,91
2020-05-01,94
2020-06-01,95
2020-07-01,79
2020-08-01,69
2020-09-01,67
2020-10-01,88
2020-11-01,78
2020-12-01,87
2021-01-01,99
2021-02-01,85
2021-03-01,123
2021-04-01,77
2021-05-01,93
2021-06-01,78
2021-07-01,84
2021-08-01,80
2021-09-01,75
2021-10-01,87
2021-11-01,139
2021-12-01,105
2022-01-01,118
2022-02-01,94
2022-03-01,117
2022-04-01,104
2022-05-01,104
2022-06-01,106
2022-07-01,87
2022-08-01,113
2022-09-01,126
2022-10-01,120
2022-11-01,118
2022-12-01,89
2023-01-01,112
2023-02-01,235
2023-03-01,286
2023-04-01,154
2023-05-01,161
2023-06-01,192
