year_month,count
2012-07-01,35
2012-11-01,1
2012-12-01,1
2013-02-01,9
2013-03-01,4
2013-04-01,11
2013-05-01,7
2013-06-01,11
2013-07-01,9
2013-08-01,8
2013-09-01,8
2013-10-01,12
2013-11-01,37
2013-12-01,15
2014-01-01,27
2014-02-01,23
2014-03-01,143
2014-04-01,66
2014-05-01,34
2014-06-01,38
2014-07-01,25
2014-08-01,43
2014-09-01,36
2014-10-01,44
2014-11-01,46
2014-12-01,35
2015-01-01,63
2015-02-01,65
2015-03-01,67
2015-04-01,73
2015-05-01,80
2015-06-01,97
2015-07-01,87
2015-08-01,100
2015-09-01,98
2015-10-01,154
2015-11-01,105
2015-12-01,83
2016-01-01,140
2016-02-01,80
2016-03-01,142
2016-04-01,153
2016-05-01,118
2016-06-01,125
2016-07-01,117
2016-08-01,144
2016-09-01,166
2016-10-01,122
2016-11-01,166
2016-12-01,179
2017-01-01,151
2017-02-01,118
2017-03-01,251
2017-04-01,182
2017-05-01,163
2017-06-01,138
2017-07-01,159
2017-08-01,189
2017-09-01,221
2017-10-01,297
2017-11-01,186
2017-12-01,258
2018-01-01,233
2018-02-01,248
2018-03-01,241
2018-04-01,201
2018-05-01,198
2018-06-01,229
2018-07-01,189
2018-08-01,221
2018-09-01,211
2018-10-01,216
2018-11-01,246
2018-12-01,268
2019-01-01,335
2019-02-01,233
2019-03-01,260
2019-04-01,215
2019-05-01,197
2019-06-01,210
2019-07-01,174
2019-08-01,170
2019-09-01,219
2019-10-01,182
2019-11-01,215
2019-12-01,190
2020-01-01,161
2020-02-01,171
2020-03-01,194
2020-04-01,220
2020-05-01,173
2020-06-01,167
2020-07-01,184
2020-08-01,154
2020-09-01,177
2020-10-01,138
2020-11-01,187
2020-12-01,224
2021-01-01,194
2021-02-01,152
2021-03-01,171
2021-04-01,167
2021-05-01,157
2021-06-01,131
2021-07-01,135
2021-08-01,148
2021-09-01,172
2021-10-01,197
2021-11-01,166
2021-12-01,168
2022-01-01,278
2022-02-01,156
2022-03-01,165
2022-04-01,158
2022-05-01,158
2022-06-01,148
2022-07-01,204
2022-08-01,154
2022-09-01,168
2022-10-01,182
2022-11-01,145
2022-12-01,126
2023-01-01,141
2023-02-01,187
2023-03-01,214
2023-04-01,168
2023-05-01,164
2023-06-01,141
