year_month,count
2008-04-01,1160
2008-05-01,370
2008-06-01,329
2008-07-01,215
2008-08-01,238
2008-09-01,236
2008-10-01,258
2008-11-01,231
2008-12-01,254
2009-01-01,251
2009-02-01,251
2009-03-01,254
2009-04-01,242
2009-05-01,254
2009-06-01,210
2009-07-01,219
2009-08-01,220
2009-09-01,229
2009-10-01,198
2009-11-01,209
2009-12-01,205
2010-01-01,240
2010-02-01,272
2010-03-01,256
2010-04-01,245
2010-05-01,247
2010-06-01,276
2010-07-01,276
2010-08-01,251
2010-09-01,300
2010-10-01,295
2010-11-01,264
2010-12-01,244
2011-01-01,269
2011-02-01,288
2011-03-01,339
2011-04-01,303
2011-05-01,308
2011-06-01,303
2011-07-01,271
2011-08-01,249
2011-09-01,276
2011-10-01,231
2011-11-01,255
2011-12-01,196
2012-01-01,221
2012-02-01,242
2012-03-01,236
2012-04-01,228
2012-05-01,173
2012-06-01,171
2012-07-01,154
2012-08-01,92
2012-09-01,68
2012-10-01,52
2012-11-01,55
2012-12-01,36
2013-01-01,28
2013-02-01,219
2013-03-01,362
2013-04-01,321
2013-05-01,298
2013-06-01,290
2013-07-01,312
2013-08-01,252
2013-09-01,259
2013-10-01,226
2013-11-01,254
2013-12-01,251
2014-01-01,248
2014-02-01,277
2014-03-01,336
2014-04-01,381
2014-05-01,313
2014-06-01,284
2014-07-01,331
2014-08-01,380
2014-09-01,333
2014-10-01,322
2014-11-01,421
2014-12-01,320
2015-01-01,343
2015-02-01,340
2015-03-01,379
2015-04-01,413
2015-05-01,393
2015-06-01,389
2015-07-01,357
2015-08-01,431
2015-09-01,339
2015-10-01,390
2015-11-01,334
2015-12-01,390
2016-01-01,468
2016-02-01,479
2016-03-01,463
2016-04-01,454
2016-05-01,481
2016-06-01,439
2016-07-01,428
2016-08-01,418
2016-09-01,333
2016-10-01,337
2016-11-01,336
2016-12-01,384
2017-01-01,368
2017-02-01,402
2017-03-01,451
2017-04-01,369
2017-05-01,384
2017-06-01,380
2017-07-01,379
2017-08-01,353
2017-09-01,310
2017-10-01,369
2017-11-01,354
2017-12-01,342
2018-01-01,391
2018-02-01,368
2018-03-01,387
2018-04-01,356
2018-05-01,349
2018-06-01,342
2018-07-01,330
2018-08-01,381
2018-09-01,314
2018-10-01,342
2018-11-01,269
2018-12-01,265
2019-01-01,352
2019-02-01,320
2019-03-01,382
2019-04-01,311
2019-05-01,342
2019-06-01,291
2019-07-01,309
2019-08-01,296
2019-09-01,263
2019-10-01,246
2019-11-01,209
2019-12-01,216
2020-01-01,219
2020-02-01,193
2020-03-01,229
2020-04-01,235
2020-05-01,272
2020-06-01,250
2020-07-01,244
2020-08-01,229
2020-09-01,292
2020-10-01,226
2020-11-01,277
2020-12-01,297
2021-01-01,235
2021-02-01,246
2021-03-01,422
2021-04-01,244
2021-05-01,224
2021-06-01,197
2021-07-01,195
2021-08-01,197
2021-09-01,228
2021-10-01,227
2021-11-01,203
2021-12-01,378
2022-01-01,325
2022-02-01,226
2022-03-01,260
2022-04-01,221
2022-05-01,254
2022-06-01,217
2022-07-01,231
2022-08-01,241
2022-09-01,212
2022-10-01,198
2022-11-01,233
2022-12-01,207
2023-01-01,273
2023-02-01,205
2023-03-01,243
2023-04-01,221
2023-05-01,281
2023-06-01,238
2023-07-01,4
