year_month,count
2011-08-01,499
2011-09-01,22
2011-10-01,18
2011-11-01,41
2011-12-01,18
2012-01-01,31
2012-02-01,30
2012-03-01,16
2012-04-01,23
2012-05-01,35
2012-06-01,31
2012-07-01,28
2012-08-01,11
2012-09-01,8
2012-10-01,4
2012-11-01,7
2012-12-01,5
2013-01-01,3
2013-02-01,38
2013-03-01,50
2013-04-01,48
2013-05-01,33
2013-06-01,43
2013-07-01,34
2013-08-01,55
2013-09-01,46
2013-10-01,71
2013-11-01,54
2013-12-01,68
2014-01-01,75
2014-02-01,85
2014-03-01,105
2014-04-01,200
2014-05-01,72
2014-06-01,77
2014-07-01,72
2014-08-01,124
2014-09-01,189
2014-10-01,110
2014-11-01,128
2014-12-01,144
2015-01-01,138
2015-02-01,120
2015-03-01,127
2015-04-01,160
2015-05-01,112
2015-06-01,143
2015-07-01,170
2015-08-01,168
2015-09-01,141
2015-10-01,160
2015-11-01,128
2015-12-01,177
2016-01-01,133
2016-02-01,125
2016-03-01,140
2016-04-01,194
2016-05-01,191
2016-06-01,203
2016-07-01,181
2016-08-01,206
2016-09-01,224
2016-10-01,187
2016-11-01,247
2016-12-01,159
2017-01-01,194
2017-02-01,171
2017-03-01,213
2017-04-01,220
2017-05-01,513
2017-06-01,214
2017-07-01,191
2017-08-01,298
2017-09-01,226
2017-10-01,296
2017-11-01,287
2017-12-01,295
2018-01-01,337
2018-02-01,421
2018-03-01,346
2018-04-01,308
2018-05-01,309
2018-06-01,303
2018-07-01,291
2018-08-01,280
2018-09-01,283
2018-10-01,335
2018-11-01,297
2018-12-01,286
2019-01-01,488
2019-02-01,304
2019-03-01,393
2019-04-01,395
2019-05-01,344
2019-06-01,327
2019-07-01,327
2019-08-01,264
2019-09-01,902
2019-10-01,281
2019-11-01,321
2019-12-01,287
2020-01-01,283
2020-02-01,264
2020-03-01,259
2020-04-01,309
2020-05-01,231
2020-06-01,278
2020-07-01,291
2020-08-01,206
2020-09-01,262
2020-10-01,215
2020-11-01,285
2020-12-01,423
2021-01-01,357
2021-02-01,240
2021-03-01,350
2021-04-01,288
2021-05-01,285
2021-06-01,323
2021-07-01,304
2021-08-01,277
2021-09-01,263
2021-10-01,303
2021-11-01,257
2021-12-01,295
2022-01-01,293
2022-02-01,279
2022-03-01,316
2022-04-01,366
2022-05-01,302
2022-06-01,269
2022-07-01,256
2022-08-01,260
2022-09-01,291
2022-10-01,293
2022-11-01,274
2022-12-01,260
2023-01-01,311
2023-02-01,295
2023-03-01,290
2023-04-01,314
2023-05-01,246
2023-06-01,105
