year_month,count
2013-07-01,6
2013-08-01,4
2013-10-01,2
2013-11-01,6
2013-12-01,6
2014-01-01,6
2014-02-01,8
2014-03-01,6
2014-04-01,10
2014-05-01,5
2014-06-01,8
2014-07-01,7
2014-08-01,2
2014-09-01,15
2014-10-01,9
2014-11-01,7
2014-12-01,10
2015-01-01,13
2015-02-01,6
2015-03-01,9
2015-04-01,5
2015-05-01,9
2015-06-01,7
2015-07-01,11
2015-08-01,5
2015-09-01,11
2015-10-01,9
2015-11-01,8
2015-12-01,9
2016-01-01,7
2016-02-01,17
2016-03-01,13
2016-04-01,12
2016-05-01,5
2016-06-01,6
2016-07-01,14
2016-08-01,9
2016-09-01,6
2016-10-01,10
2016-11-01,12
2016-12-01,10
2017-01-01,16
2017-02-01,15
2017-03-01,15
2017-04-01,8
2017-05-01,15
2017-06-01,12
2017-07-01,14
2017-08-01,21
2017-09-01,17
2017-10-01,26
2017-11-01,29
2017-12-01,25
2018-01-01,13
2018-02-01,12
2018-03-01,25
2018-04-01,19
2018-05-01,29
2018-06-01,17
2018-07-01,18
2018-08-01,28
2018-09-01,33
2018-10-01,51
2018-11-01,48
2018-12-01,18
2019-01-01,29
2019-02-01,19
2019-03-01,39
2019-04-01,35
2019-05-01,30
2019-06-01,14
2019-07-01,33
2019-08-01,17
2019-09-01,25
2019-10-01,22
2019-11-01,14
2019-12-01,16
2020-01-01,71
2020-02-01,26
2020-03-01,19
2020-04-01,31
2020-05-01,22
2020-06-01,66
2020-07-01,31
2020-08-01,20
2020-09-01,25
2020-10-01,23
2020-11-01,30
2020-12-01,17
2021-01-01,27
2021-02-01,25
2021-03-01,28
2021-04-01,15
2021-05-01,19
2021-06-01,11
2021-07-01,9
2021-08-01,22
2021-09-01,13
2021-10-01,19
2021-11-01,15
2021-12-01,15
2022-01-01,39
2022-02-01,32
2022-03-01,26
2022-04-01,52
2022-05-01,38
2022-06-01,27
2022-07-01,95
2022-08-01,21
2022-09-01,28
2022-10-01,30
2022-11-01,31
2022-12-01,25
2023-01-01,57
2023-02-01,40
2023-03-01,32
2023-04-01,32
2023-05-01,31
2023-06-01,24
