year_month,count
2017-09-01,4
2017-10-01,13
2017-11-01,72
2017-12-01,29
2018-01-01,28
2018-02-01,42
2018-03-01,61
2018-04-01,16
2018-05-01,25
2018-06-01,22
2018-07-01,26
2018-08-01,19
2018-09-01,30
2018-10-01,40
2018-11-01,55
2018-12-01,113
2019-01-01,87
2019-02-01,109
2019-03-01,153
2019-04-01,120
2019-05-01,177
2019-06-01,172
2019-07-01,109
2019-08-01,90
2019-09-01,80
2019-10-01,98
2019-11-01,132
2019-12-01,264
2020-01-01,104
2020-02-01,107
2020-03-01,111
2020-04-01,85
2020-05-01,69
2020-06-01,102
2020-07-01,85
2020-08-01,101
2020-09-01,62
2020-10-01,131
2020-11-01,163
2020-12-01,163
2021-01-01,143
2021-02-01,121
2021-03-01,86
2021-04-01,85
2021-05-01,80
2021-06-01,79
2021-07-01,80
2021-08-01,77
2021-09-01,104
2021-10-01,74
2021-11-01,142
2021-12-01,135
2022-01-01,169
2022-02-01,111
2022-03-01,84
2022-04-01,86
2022-05-01,146
2022-06-01,114
2022-07-01,116
2022-08-01,267
2022-09-01,157
2022-10-01,127
2022-11-01,196
2022-12-01,147
2023-01-01,213
2023-02-01,135
2023-03-01,181
2023-04-01,129
2023-05-01,131
2023-06-01,90
