year_month,count
2010-09-01,146
2010-10-01,3
2010-11-01,3
2010-12-01,4
2011-01-01,8
2011-02-01,4
2011-03-01,8
2011-04-01,6
2011-05-01,4
2011-06-01,8
2011-07-01,1
2011-08-01,4
2011-09-01,5
2011-10-01,3
2011-11-01,4
2011-12-01,2
2012-01-01,6
2012-02-01,3
2012-03-01,2
2012-04-01,3
2012-05-01,3
2012-06-01,2
2012-07-01,1
2012-08-01,2
2012-09-01,3
2012-11-01,1
2013-02-01,10
2013-03-01,14
2013-04-01,11
2013-05-01,7
2013-06-01,9
2013-07-01,10
2013-08-01,6
2013-09-01,6
2013-10-01,6
2013-11-01,12
2013-12-01,7
2014-01-01,10
2014-02-01,27
2014-03-01,15
2014-04-01,27
2014-05-01,17
2014-06-01,18
2014-07-01,17
2014-08-01,27
2014-09-01,15
2014-10-01,28
2014-11-01,18
2014-12-01,24
2015-01-01,29
2015-02-01,25
2015-03-01,28
2015-04-01,36
2015-05-01,36
2015-06-01,33
2015-07-01,46
2015-08-01,43
2015-09-01,39
2015-10-01,66
2015-11-01,28
2015-12-01,39
2016-01-01,40
2016-02-01,38
2016-03-01,50
2016-04-01,50
2016-05-01,61
2016-06-01,42
2016-07-01,34
2016-08-01,47
2016-09-01,53
2016-10-01,31
2016-11-01,55
2016-12-01,36
2017-01-01,39
2017-02-01,44
2017-03-01,62
2017-04-01,59
2017-05-01,30
2017-06-01,45
2017-07-01,44
2017-08-01,53
2017-09-01,39
2017-10-01,32
2017-11-01,42
2017-12-01,33
2018-01-01,47
2018-02-01,39
2018-03-01,69
2018-04-01,48
2018-05-01,45
2018-06-01,52
2018-07-01,61
2018-08-01,57
2018-09-01,58
2018-10-01,35
2018-11-01,34
2018-12-01,46
2019-01-01,54
2019-02-01,49
2019-03-01,61
2019-04-01,62
2019-05-01,57
2019-06-01,49
2019-07-01,76
2019-08-01,53
2019-09-01,51
2019-10-01,80
2019-11-01,42
2019-12-01,54
2020-01-01,46
2020-02-01,54
2020-03-01,58
2020-04-01,51
2020-05-01,66
2020-06-01,59
2020-07-01,48
2020-08-01,56
2020-09-01,37
2020-10-01,39
2020-11-01,27
2020-12-01,36
2021-01-01,33
2021-02-01,36
2021-03-01,39
2021-04-01,29
2021-05-01,37
2021-06-01,38
2021-07-01,29
2021-08-01,30
2021-09-01,20
2021-10-01,40
2021-11-01,28
2021-12-01,37
2022-01-01,43
2022-02-01,31
2022-03-01,31
2022-04-01,34
2022-05-01,35
2022-06-01,32
2022-07-01,33
2022-08-01,34
2022-09-01,40
2022-10-01,31
2022-11-01,41
2022-12-01,39
2023-01-01,34
2023-02-01,31
2023-03-01,45
2023-04-01,41
2023-05-01,42
2023-06-01,51
