year_month,count
2011-04-01,90
2011-05-01,3
2011-06-01,4
2011-07-01,3
2011-08-01,1
2011-09-01,4
2011-10-01,4
2011-11-01,4
2011-12-01,2
2012-01-01,3
2012-02-01,6
2012-03-01,12
2012-04-01,5
2012-05-01,3
2012-06-01,3
2012-07-01,1
2012-09-01,1
2012-10-01,2
2012-11-01,2
2013-02-01,3
2013-03-01,8
2013-04-01,18
2013-05-01,11
2013-06-01,7
2013-07-01,5
2013-08-01,9
2013-09-01,9
2013-10-01,11
2013-11-01,14
2013-12-01,15
2014-01-01,16
2014-02-01,13
2014-03-01,26
2014-04-01,20
2014-05-01,14
2014-06-01,13
2014-07-01,21
2014-08-01,16
2014-09-01,26
2014-10-01,31
2014-11-01,29
2014-12-01,57
2015-01-01,29
2015-02-01,44
2015-03-01,32
2015-04-01,32
2015-05-01,30
2015-06-01,30
2015-07-01,23
2015-08-01,18
2015-09-01,14
2015-10-01,10
2015-11-01,14
2015-12-01,23
2016-01-01,16
2016-02-01,17
2016-03-01,37
2016-04-01,24
2016-05-01,29
2016-06-01,18
2016-07-01,23
2016-08-01,18
2016-09-01,19
2016-10-01,22
2016-11-01,37
2016-12-01,25
2017-01-01,35
2017-02-01,30
2017-03-01,41
2017-04-01,37
2017-05-01,23
2017-06-01,32
2017-07-01,30
2017-08-01,31
2017-09-01,16
2017-10-01,101
2017-11-01,40
2017-12-01,82
2018-01-01,97
2018-02-01,96
2018-03-01,74
2018-04-01,38
2018-05-01,35
2018-06-01,32
2018-07-01,22
2018-08-01,20
2018-09-01,27
2018-10-01,33
2018-11-01,26
2018-12-01,21
2019-01-01,15
2019-02-01,25
2019-03-01,76
2019-04-01,24
2019-05-01,26
2019-06-01,24
2019-07-01,16
2019-08-01,15
2019-09-01,22
2019-10-01,16
2019-11-01,20
2019-12-01,17
2020-01-01,12
2020-02-01,24
2020-03-01,30
2020-04-01,17
2020-05-01,33
2020-06-01,22
2020-07-01,17
2020-08-01,13
2020-09-01,18
2020-10-01,15
2020-11-01,23
2020-12-01,15
2021-01-01,14
2021-02-01,20
2021-03-01,11
2021-04-01,10
2021-05-01,14
2021-06-01,7
2021-07-01,8
2021-08-01,11
2021-09-01,13
2021-10-01,4
2021-11-01,5
2021-12-01,12
2022-01-01,9
2022-02-01,7
2022-03-01,7
2022-04-01,8
2022-05-01,5
2022-06-01,9
2022-07-01,12
2022-08-01,5
2022-09-01,5
2022-10-01,5
2022-11-01,11
2022-12-01,8
2023-01-01,6
2023-02-01,9
2023-03-01,11
2023-04-01,9
2023-05-01,5
2023-06-01,5
