year_month,count
2020-03-01,27
2020-04-01,21
2020-05-01,22
2020-06-01,30
2020-07-01,26
2020-08-01,22
2020-09-01,16
2020-10-01,11
2020-11-01,24
2020-12-01,16
2021-01-01,10
2021-02-01,15
2021-03-01,27
2021-04-01,29
2021-05-01,31
2021-06-01,17
2021-07-01,23
2021-08-01,27
2021-09-01,30
2021-10-01,26
2021-11-01,50
2021-12-01,26
2022-01-01,28
2022-02-01,23
2022-03-01,25
2022-04-01,34
2022-05-01,35
2022-06-01,44
2022-07-01,28
2022-08-01,21
2022-09-01,30
2022-10-01,20
2022-11-01,28
2022-12-01,31
2023-01-01,28
2023-02-01,38
2023-03-01,35
2023-04-01,42
2023-05-01,43
2023-06-01,31
