year_month,count
2018-03-01,5
2018-04-01,148
2018-05-01,45
2018-06-01,35
2018-07-01,24
2018-08-01,34
2018-09-01,24
2018-10-01,20
2018-11-01,15
2018-12-01,16
2019-01-01,4
2019-02-01,9
2019-03-01,14
2019-04-01,13
2019-05-01,17
2019-06-01,14
2019-07-01,24
2019-08-01,30
2019-09-01,18
2019-10-01,15
2019-11-01,17
2019-12-01,17
2020-01-01,13
2020-02-01,16
2020-03-01,17
2020-04-01,35
2020-05-01,14
2020-06-01,15
2020-07-01,36
2020-08-01,67
2020-09-01,112
2020-10-01,45
2020-11-01,47
2020-12-01,61
2021-01-01,66
2021-02-01,127
2021-03-01,125
2021-04-01,268
2021-05-01,423
2021-06-01,446
2021-07-01,168
2021-08-01,434
2021-09-01,902
2021-10-01,555
2021-11-01,944
2021-12-01,607
2022-01-01,656
2022-02-01,366
2022-03-01,291
2022-04-01,466
2022-05-01,490
2022-06-01,296
2022-07-01,209
2022-08-01,173
2022-09-01,166
2022-10-01,151
2022-11-01,146
2022-12-01,146
2023-01-01,152
2023-02-01,124
2023-03-01,107
2023-04-01,128
2023-05-01,134
2023-06-01,137
2023-07-01,1
