year_month,count
2015-06-01,8
2015-07-01,6
2015-08-01,14
2015-09-01,16
2015-10-01,91
2015-11-01,148
2015-12-01,217
2016-01-01,207
2016-02-01,39
2016-03-01,39
2016-04-01,33
2016-05-01,31
2016-06-01,52
2016-07-01,28
2016-08-01,33
2016-09-01,34
2016-10-01,56
2016-11-01,35
2016-12-01,25
2017-01-01,31
2017-02-01,31
2017-03-01,28
2017-04-01,39
2017-05-01,41
2017-06-01,52
2017-07-01,33
2017-08-01,31
2017-09-01,35
2017-10-01,30
2017-11-01,35
2017-12-01,29
2018-01-01,32
2018-02-01,41
2018-03-01,27
2018-04-01,41
2018-05-01,38
2018-06-01,25
2018-07-01,152
2018-08-01,179
2018-09-01,29
2018-10-01,44
2018-11-01,37
2018-12-01,40
2019-01-01,37
2019-02-01,46
2019-03-01,42
2019-04-01,49
2019-05-01,39
2019-06-01,33
2019-07-01,44
2019-08-01,71
2019-09-01,43
2019-10-01,33
2019-11-01,39
2019-12-01,37
2020-01-01,72
2020-02-01,40
2020-03-01,39
2020-04-01,61
2020-05-01,63
2020-06-01,63
2020-07-01,50
2020-08-01,43
2020-09-01,32
2020-10-01,41
2020-11-01,47
2020-12-01,42
2021-01-01,43
2021-02-01,56
2021-03-01,52
2021-04-01,82
2021-05-01,56
2021-06-01,42
2021-07-01,48
2021-08-01,31
2021-09-01,44
2021-10-01,49
2021-11-01,41
2021-12-01,41
2022-01-01,51
2022-02-01,47
2022-03-01,43
2022-04-01,46
2022-05-01,85
2022-06-01,69
2022-07-01,45
2022-08-01,51
2022-09-01,39
2022-10-01,31
2022-11-01,37
2022-12-01,28
2023-01-01,36
2023-02-01,42
2023-03-01,34
2023-04-01,29
2023-05-01,33
2023-06-01,31
