year_month,count
2017-07-01,1
2018-05-01,1
2018-10-01,70
2018-11-01,279
2018-12-01,653
2019-01-01,381
2019-02-01,222
2019-03-01,169
2019-04-01,199
2019-05-01,148
2019-06-01,113
2019-07-01,121
2019-08-01,95
2019-09-01,71
2019-10-01,112
2019-11-01,123
2019-12-01,98
2020-01-01,108
2020-02-01,130
2020-03-01,156
2020-04-01,95
2020-05-01,82
2020-06-01,100
2020-07-01,83
2020-08-01,120
2020-09-01,68
2020-10-01,77
2020-11-01,112
2020-12-01,94
2021-01-01,131
2021-02-01,96
2021-03-01,106
2021-04-01,74
2021-05-01,90
2021-06-01,94
2021-07-01,141
2021-08-01,101
2021-09-01,93
2021-10-01,144
2021-11-01,130
2021-12-01,133
2022-01-01,108
2022-02-01,150
2022-03-01,94
2022-04-01,145
2022-05-01,112
2022-06-01,253
2022-07-01,142
2022-08-01,92
2022-09-01,88
2022-10-01,384
2022-11-01,79
2022-12-01,67
2023-01-01,111
2023-02-01,109
2023-03-01,205
2023-04-01,205
2023-05-01,134
2023-06-01,172
