year_month,count
2012-08-01,32
2012-12-01,1
2013-02-01,3
2013-03-01,21
2013-04-01,28
2013-05-01,20
2013-06-01,5
2013-07-01,4
2013-08-01,11
2013-09-01,5
2013-10-01,10
2013-11-01,38
2013-12-01,29
2014-01-01,28
2014-02-01,16
2014-03-01,13
2014-04-01,26
2014-05-01,15
2014-06-01,9
2014-07-01,12
2014-08-01,10
2014-09-01,12
2014-10-01,13
2014-11-01,18
2014-12-01,15
2015-01-01,25
2015-02-01,13
2015-03-01,25
2015-04-01,19
2015-05-01,11
2015-06-01,12
2015-07-01,20
2015-08-01,24
2015-09-01,12
2015-10-01,22
2015-11-01,16
2015-12-01,7
2016-01-01,17
2016-02-01,15
2016-03-01,14
2016-04-01,11
2016-05-01,27
2016-06-01,15
2016-07-01,14
2016-08-01,26
2016-09-01,5
2016-10-01,23
2016-11-01,24
2016-12-01,28
2017-01-01,39
2017-02-01,30
2017-03-01,33
2017-04-01,41
2017-05-01,66
2017-06-01,75
2017-07-01,92
2017-08-01,115
2017-09-01,103
2017-10-01,131
2017-11-01,141
2017-12-01,205
2018-01-01,177
2018-02-01,79
2018-03-01,89
2018-04-01,73
2018-05-01,57
2018-06-01,64
2018-07-01,68
2018-08-01,42
2018-09-01,190
2018-10-01,68
2018-11-01,46
2018-12-01,79
2019-01-01,48
2019-02-01,77
2019-03-01,42
2019-04-01,29
2019-05-01,99
2019-06-01,56
2019-07-01,56
2019-08-01,48
2019-09-01,32
2019-10-01,31
2019-11-01,47
2019-12-01,43
2020-01-01,39
2020-02-01,35
2020-03-01,43
2020-04-01,46
2020-05-01,49
2020-06-01,55
2020-07-01,68
2020-08-01,55
2020-09-01,40
2020-10-01,49
2020-11-01,70
2020-12-01,90
2021-01-01,137
2021-02-01,122
2021-03-01,114
2021-04-01,120
2021-05-01,117
2021-06-01,56
2021-07-01,56
2021-08-01,53
2021-09-01,54
2021-10-01,79
2021-11-01,78
2021-12-01,76
2022-01-01,73
2022-02-01,61
2022-03-01,79
2022-04-01,83
2022-05-01,61
2022-06-01,92
2022-07-01,54
2022-08-01,64
2022-09-01,40
2022-10-01,46
2022-11-01,74
2022-12-01,62
2023-01-01,56
2023-02-01,66
2023-03-01,62
2023-04-01,78
2023-05-01,88
2023-06-01,82
