year_month,count
2008-03-01,148
2008-04-01,134
2008-05-01,71
2008-06-01,81
2008-07-01,61
2008-08-01,45
2008-09-01,59
2008-10-01,67
2008-11-01,59
2008-12-01,73
2009-01-01,58
2009-02-01,80
2009-03-01,61
2009-04-01,81
2009-05-01,63
2009-06-01,60
2009-07-01,64
2009-08-01,58
2009-09-01,47
2009-10-01,69
2009-11-01,62
2009-12-01,57
2010-01-01,57
2010-02-01,57
2010-03-01,54
2010-04-01,53
2010-05-01,52
2010-06-01,54
2010-07-01,55
2010-08-01,58
2010-09-01,57
2010-10-01,90
2010-11-01,57
2010-12-01,43
2011-01-01,51
2011-02-01,64
2011-03-01,72
2011-04-01,61
2011-05-01,46
2011-06-01,58
2011-07-01,52
2011-08-01,49
2011-09-01,39
2011-10-01,39
2011-11-01,33
2011-12-01,43
2012-01-01,38
2012-02-01,48
2012-03-01,29
2012-04-01,19
2012-05-01,14
2012-06-01,16
2012-07-01,21
2012-08-01,12
2012-09-01,13
2012-10-01,7
2012-11-01,8
2012-12-01,8
2013-01-01,6
2013-02-01,53
2013-03-01,93
2013-04-01,93
2013-05-01,94
2013-06-01,85
2013-07-01,110
2013-08-01,98
2013-09-01,80
2013-10-01,58
2013-11-01,68
2013-12-01,79
2014-01-01,97
2014-02-01,93
2014-03-01,108
2014-04-01,93
2014-05-01,103
2014-06-01,87
2014-07-01,111
2014-08-01,74
2014-09-01,109
2014-10-01,95
2014-11-01,82
2014-12-01,97
2015-01-01,80
2015-02-01,119
2015-03-01,138
2015-04-01,112
2015-05-01,92
2015-06-01,92
2015-07-01,105
2015-08-01,85
2015-09-01,86
2015-10-01,97
2015-11-01,78
2015-12-01,69
2016-01-01,117
2016-02-01,129
2016-03-01,93
2016-04-01,111
2016-05-01,105
2016-06-01,89
2016-07-01,81
2016-08-01,98
2016-09-01,79
2016-10-01,64
2016-11-01,89
2016-12-01,79
2017-01-01,77
2017-02-01,94
2017-03-01,94
2017-04-01,86
2017-05-01,79
2017-06-01,70
2017-07-01,96
2017-08-01,100
2017-09-01,67
2017-10-01,69
2017-11-01,66
2017-12-01,68
2018-01-01,76
2018-02-01,55
2018-03-01,73
2018-04-01,70
2018-05-01,55
2018-06-01,67
2018-07-01,62
2018-08-01,64
2018-09-01,54
2018-10-01,62
2018-11-01,68
2018-12-01,43
2019-01-01,60
2019-02-01,44
2019-03-01,63
2019-04-01,60
2019-05-01,66
2019-06-01,39
2019-07-01,47
2019-08-01,44
2019-09-01,55
2019-10-01,70
2019-11-01,45
2019-12-01,47
2020-01-01,41
2020-02-01,36
2020-03-01,98
2020-04-01,88
2020-05-01,57
2020-06-01,93
2020-07-01,79
2020-08-01,62
2020-09-01,82
2020-10-01,64
2020-11-01,59
2020-12-01,168
2021-01-01,84
2021-02-01,62
2021-03-01,81
2021-04-01,44
2021-05-01,50
2021-06-01,41
2021-07-01,62
2021-08-01,48
2021-09-01,61
2021-10-01,51
2021-11-01,53
2021-12-01,66
2022-01-01,71
2022-02-01,65
2022-03-01,60
2022-04-01,38
2022-05-01,49
2022-06-01,51
2022-07-01,39
2022-08-01,57
2022-09-01,38
2022-10-01,38
2022-11-01,44
2022-12-01,43
2023-01-01,37
2023-02-01,46
2023-03-01,49
2023-04-01,52
2023-05-01,40
2023-06-01,37
