year_month,count
2013-05-01,1
2013-08-01,152
2013-09-01,56
2013-10-01,29
2013-11-01,25
2013-12-01,35
2014-01-01,62
2014-02-01,43
2014-03-01,62
2014-04-01,86
2014-05-01,77
2014-06-01,65
2014-07-01,75
2014-08-01,89
2014-09-01,92
2014-10-01,92
2014-11-01,85
2014-12-01,129
2015-01-01,122
2015-02-01,110
2015-03-01,114
2015-04-01,161
2015-05-01,135
2015-06-01,181
2015-07-01,172
2015-08-01,200
2015-09-01,223
2015-10-01,222
2015-11-01,301
2015-12-01,273
2016-01-01,271
2016-02-01,244
2016-03-01,374
2016-04-01,375
2016-05-01,330
2016-06-01,365
2016-07-01,396
2016-08-01,509
2016-09-01,421
2016-10-01,507
2016-11-01,525
2016-12-01,515
2017-01-01,490
2017-02-01,549
2017-03-01,711
2017-04-01,711
2017-05-01,868
2017-06-01,678
2017-07-01,763
2017-08-01,848
2017-09-01,781
2017-10-01,793
2017-11-01,916
2017-12-01,886
2018-01-01,966
2018-02-01,855
2018-03-01,1610
2018-04-01,1057
2018-05-01,1126
2018-06-01,960
2018-07-01,1087
2018-08-01,1097
2018-09-01,1021
2018-10-01,949
2018-11-01,1050
2018-12-01,1072
2019-01-01,1099
2019-02-01,897
2019-03-01,1255
2019-04-01,1361
2019-05-01,1193
2019-06-01,1034
2019-07-01,944
2019-08-01,903
2019-09-01,805
2019-10-01,781
2019-11-01,819
2019-12-01,797
2020-01-01,632
2020-02-01,605
2020-03-01,843
2020-04-01,859
2020-05-01,853
2020-06-01,762
2020-07-01,717
2020-08-01,666
2020-09-01,713
2020-10-01,567
2020-11-01,599
2020-12-01,675
2021-01-01,702
2021-02-01,486
2021-03-01,629
2021-04-01,637
2021-05-01,549
2021-06-01,722
2021-07-01,518
2021-08-01,511
2021-09-01,611
2021-10-01,433
2021-11-01,562
2021-12-01,632
2022-01-01,570
2022-02-01,479
2022-03-01,640
2022-04-01,619
2022-05-01,592
2022-06-01,593
2022-07-01,567
2022-08-01,593
2022-09-01,472
2022-10-01,494
2022-11-01,654
2022-12-01,505
2023-01-01,474
2023-02-01,659
2023-03-01,665
2023-04-01,640
2023-05-01,763
2023-06-01,501
