year_month,count
2014-11-01,35
2014-12-01,36
2015-01-01,20
2015-02-01,19
2015-03-01,9
2015-04-01,27
2015-05-01,18
2015-06-01,42
2015-07-01,33
2015-08-01,24
2015-09-01,24
2015-10-01,654
2015-11-01,58
2015-12-01,33
2016-01-01,53
2016-02-01,57
2016-03-01,78
2016-04-01,45
2016-05-01,36
2016-06-01,38
2016-07-01,51
2016-08-01,70
2016-09-01,38
2016-10-01,36
2016-11-01,51
2016-12-01,35
2017-01-01,37
2017-02-01,54
2017-03-01,64
2017-04-01,44
2017-05-01,67
2017-06-01,51
2017-07-01,64
2017-08-01,63
2017-09-01,55
2017-10-01,50
2017-11-01,58
2017-12-01,65
2018-01-01,65
2018-02-01,24
2018-03-01,52
2018-04-01,31
2018-05-01,53
2018-06-01,36
2018-07-01,52
2018-08-01,30
2018-09-01,44
2018-10-01,41
2018-11-01,57
2018-12-01,58
2019-01-01,53
2019-02-01,41
2019-03-01,77
2019-04-01,48
2019-05-01,54
2019-06-01,62
2019-07-01,54
2019-08-01,68
2019-09-01,49
2019-10-01,56
2019-11-01,53
2019-12-01,34
2020-01-01,48
2020-02-01,43
2020-03-01,42
2020-04-01,39
2020-05-01,55
2020-06-01,49
2020-07-01,45
2020-08-01,33
2020-09-01,43
2020-10-01,53
2020-11-01,41
2020-12-01,56
2021-01-01,51
2021-02-01,29
2021-03-01,48
2021-04-01,50
2021-05-01,44
2021-06-01,39
2021-07-01,43
2021-08-01,46
2021-09-01,40
2021-10-01,58
2021-11-01,35
2021-12-01,41
2022-01-01,47
2022-02-01,27
2022-03-01,39
2022-04-01,49
2022-05-01,38
2022-06-01,49
2022-07-01,58
2022-08-01,34
2022-09-01,26
2022-10-01,40
2022-11-01,266
2022-12-01,61
2023-01-01,56
2023-02-01,56
2023-03-01,45
2023-04-01,43
2023-05-01,42
2023-06-01,33
