year_month,count
2012-12-01,30
2013-01-01,1
2013-02-01,13
2013-03-01,34
2013-04-01,25
2013-05-01,18
2013-06-01,7
2013-07-01,15
2013-08-01,13
2013-09-01,9
2013-10-01,15
2013-11-01,7
2013-12-01,11
2014-01-01,12
2014-02-01,9
2014-03-01,8
2014-04-01,7
2014-05-01,6
2014-06-01,9
2014-07-01,13
2014-08-01,15
2014-09-01,23
2014-10-01,28
2014-11-01,32
2014-12-01,21
2015-01-01,38
2015-02-01,23
2015-03-01,33
2015-04-01,31
2015-05-01,21
2015-06-01,24
2015-07-01,32
2015-08-01,36
2015-09-01,31
2015-10-01,31
2015-11-01,38
2015-12-01,41
2016-01-01,29
2016-02-01,36
2016-03-01,24
2016-04-01,45
2016-05-01,36
2016-06-01,51
2016-07-01,34
2016-08-01,45
2016-09-01,39
2016-10-01,35
2016-11-01,36
2016-12-01,37
2017-01-01,48
2017-02-01,35
2017-03-01,61
2017-04-01,40
2017-05-01,40
2017-06-01,38
2017-07-01,60
2017-08-01,57
2017-09-01,55
2017-10-01,49
2017-11-01,66
2017-12-01,54
2018-01-01,61
2018-02-01,45
2018-03-01,66
2018-04-01,64
2018-05-01,64
2018-06-01,52
2018-07-01,35
2018-08-01,29
2018-09-01,50
2018-10-01,52
2018-11-01,45
2018-12-01,63
2019-01-01,90
2019-02-01,54
2019-03-01,57
2019-04-01,66
2019-05-01,75
2019-06-01,39
2019-07-01,51
2019-08-01,74
2019-09-01,43
2019-10-01,55
2019-11-01,49
2019-12-01,37
2020-01-01,43
2020-02-01,55
2020-03-01,44
2020-04-01,58
2020-05-01,61
2020-06-01,42
2020-07-01,37
2020-08-01,35
2020-09-01,33
2020-10-01,45
2020-11-01,31
2020-12-01,46
2021-01-01,42
2021-02-01,49
2021-03-01,48
2021-04-01,82
2021-05-01,40
2021-06-01,43
2021-07-01,46
2021-08-01,37
2021-09-01,43
2021-10-01,42
2021-11-01,43
2021-12-01,59
2022-01-01,50
2022-02-01,30
2022-03-01,45
2022-04-01,47
2022-05-01,45
2022-06-01,42
2022-07-01,62
2022-08-01,31
2022-09-01,49
2022-10-01,50
2022-11-01,45
2022-12-01,69
2023-01-01,48
2023-02-01,63
2023-03-01,63
2023-04-01,35
2023-05-01,34
2023-06-01,30
