year_month,count
2010-04-01,126
2010-05-01,11
2010-06-01,9
2010-07-01,9
2010-08-01,9
2010-09-01,13
2010-10-01,7
2010-11-01,8
2010-12-01,6
2011-01-01,18
2011-02-01,14
2011-03-01,20
2011-04-01,20
2011-05-01,10
2011-06-01,8
2011-07-01,12
2011-08-01,11
2011-09-01,13
2011-10-01,14
2011-11-01,38
2011-12-01,22
2012-01-01,15
2012-02-01,18
2012-03-01,24
2012-04-01,10
2012-05-01,9
2012-06-01,7
2012-07-01,2
2012-08-01,1
2012-09-01,1
2012-10-01,1
2012-11-01,1
2012-12-01,1
2013-02-01,23
2013-03-01,23
2013-04-01,34
2013-05-01,31
2013-06-01,20
2013-07-01,18
2013-08-01,26
2013-09-01,20
2013-10-01,20
2013-11-01,21
2013-12-01,23
2014-01-01,45
2014-02-01,50
2014-03-01,36
2014-04-01,52
2014-05-01,36
2014-06-01,28
2014-07-01,222
2014-08-01,139
2014-09-01,52
2014-10-01,44
2014-11-01,83
2014-12-01,68
2015-01-01,43
2015-02-01,60
2015-03-01,69
2015-04-01,53
2015-05-01,62
2015-06-01,36
2015-07-01,52
2015-08-01,55
2015-09-01,50
2015-10-01,59
2015-11-01,55
2015-12-01,37
2016-01-01,49
2016-02-01,74
2016-03-01,89
2016-04-01,66
2016-05-01,63
2016-06-01,49
2016-07-01,61
2016-08-01,84
2016-09-01,84
2016-10-01,93
2016-11-01,90
2016-12-01,81
2017-01-01,84
2017-02-01,70
2017-03-01,87
2017-04-01,60
2017-05-01,79
2017-06-01,72
2017-07-01,85
2017-08-01,87
2017-09-01,68
2017-10-01,105
2017-11-01,75
2017-12-01,92
2018-01-01,98
2018-02-01,86
2018-03-01,94
2018-04-01,74
2018-05-01,80
2018-06-01,55
2018-07-01,74
2018-08-01,96
2018-09-01,80
2018-10-01,110
2018-11-01,80
2018-12-01,88
2019-01-01,91
2019-02-01,85
2019-03-01,100
2019-04-01,92
2019-05-01,104
2019-06-01,96
2019-07-01,76
2019-08-01,99
2019-09-01,82
2019-10-01,87
2019-11-01,76
2019-12-01,96
2020-01-01,102
2020-02-01,83
2020-03-01,114
2020-04-01,107
2020-05-01,121
2020-06-01,99
2020-07-01,122
2020-08-01,87
2020-09-01,100
2020-10-01,89
2020-11-01,128
2020-12-01,112
2021-01-01,83
2021-02-01,88
2021-03-01,105
2021-04-01,97
2021-05-01,90
2021-06-01,90
2021-07-01,63
2021-08-01,93
2021-09-01,106
2021-10-01,103
2021-11-01,90
2021-12-01,85
2022-01-01,103
2022-02-01,99
2022-03-01,99
2022-04-01,133
2022-05-01,140
2022-06-01,100
2022-07-01,100
2022-08-01,95
2022-09-01,127
2022-10-01,108
2022-11-01,98
2022-12-01,96
2023-01-01,116
2023-02-01,212
2023-03-01,284
2023-04-01,155
2023-05-01,97
2023-06-01,190
