year_month,count
2019-05-01,89
2019-06-01,31
2019-07-01,278
2019-08-01,107
2019-09-01,90
2019-10-01,57
2019-11-01,64
2019-12-01,78
2020-01-01,89
2020-02-01,30
2020-03-01,70
2020-04-01,46
2020-05-01,32
2020-06-01,38
2020-07-01,28
2020-08-01,33
2020-09-01,31
2020-10-01,24
2020-11-01,26
2020-12-01,42
2021-01-01,45
2021-02-01,30
2021-03-01,37
2021-04-01,31
2021-05-01,41
2021-06-01,38
2021-07-01,52
2021-08-01,36
2021-09-01,36
2021-10-01,30
2021-11-01,29
2021-12-01,39
2022-01-01,38
2022-02-01,16
2022-03-01,17
2022-04-01,27
2022-05-01,31
2022-06-01,23
2022-07-01,39
2022-08-01,23
2022-09-01,22
2022-10-01,30
2022-11-01,37
2022-12-01,18
2023-01-01,19
2023-02-01,20
2023-03-01,27
2023-04-01,25
2023-05-01,17
2023-06-01,15
