year_month,count
2017-06-01,14
2017-07-01,16
2017-08-01,22
2017-09-01,25
2017-10-01,23
2017-11-01,26
2017-12-01,24
2018-01-01,16
2018-02-01,40
2018-03-01,44
2018-04-01,29
2018-05-01,27
2018-06-01,27
2018-07-01,37
2018-08-01,37
2018-09-01,28
2018-10-01,31
2018-11-01,37
2018-12-01,34
2019-01-01,32
2019-02-01,48
2019-03-01,41
2019-04-01,106
2019-05-01,54
2019-06-01,54
2019-07-01,65
2019-08-01,61
2019-09-01,52
2019-10-01,65
2019-11-01,55
2019-12-01,70
2020-01-01,66
2020-02-01,63
2020-03-01,66
2020-04-01,87
2020-05-01,94
2020-06-01,68
2020-07-01,71
2020-08-01,63
2020-09-01,56
2020-10-01,87
2020-11-01,69
2020-12-01,50
2021-01-01,43
2021-02-01,68
2021-03-01,69
2021-04-01,132
2021-05-01,130
2021-06-01,52
2021-07-01,60
2021-08-01,55
2021-09-01,64
2021-10-01,61
2021-11-01,46
2021-12-01,59
2022-01-01,77
2022-02-01,66
2022-03-01,101
2022-04-01,60
2022-05-01,68
2022-06-01,61
2022-07-01,79
2022-08-01,72
2022-09-01,57
2022-10-01,49
2022-11-01,59
2022-12-01,47
2023-01-01,53
2023-02-01,60
2023-03-01,68
2023-04-01,61
2023-05-01,55
2023-06-01,49
