year_month,count
2011-07-01,35
2011-12-01,1
2012-03-01,1
2012-04-01,1
2012-05-01,1
2012-07-01,2
2012-08-01,2
2012-10-01,1
2012-12-01,1
2013-02-01,3
2013-03-01,16
2013-04-01,13
2013-05-01,12
2013-06-01,19
2013-07-01,10
2013-08-01,12
2013-09-01,14
2013-10-01,21
2013-11-01,15
2013-12-01,16
2014-01-01,17
2014-02-01,18
2014-03-01,20
2014-04-01,23
2014-05-01,22
2014-06-01,14
2014-07-01,12
2014-08-01,9
2014-09-01,20
2014-10-01,20
2014-11-01,31
2014-12-01,22
2015-01-01,25
2015-02-01,25
2015-03-01,32
2015-04-01,37
2015-05-01,44
2015-06-01,34
2015-07-01,47
2015-08-01,37
2015-09-01,30
2015-10-01,26
2015-11-01,46
2015-12-01,37
2016-01-01,37
2016-02-01,33
2016-03-01,78
2016-04-01,28
2016-05-01,72
2016-06-01,50
2016-07-01,60
2016-08-01,70
2016-09-01,44
2016-10-01,50
2016-11-01,55
2016-12-01,41
2017-01-01,43
2017-02-01,49
2017-03-01,55
2017-04-01,63
2017-05-01,79
2017-06-01,60
2017-07-01,44
2017-08-01,56
2017-09-01,58
2017-10-01,61
2017-11-01,55
2017-12-01,50
2018-01-01,85
2018-02-01,46
2018-03-01,81
2018-04-01,58
2018-05-01,59
2018-06-01,70
2018-07-01,56
2018-08-01,79
2018-09-01,50
2018-10-01,60
2018-11-01,52
2018-12-01,62
2019-01-01,50
2019-02-01,46
2019-03-01,58
2019-04-01,68
2019-05-01,51
2019-06-01,57
2019-07-01,58
2019-08-01,47
2019-09-01,39
2019-10-01,51
2019-11-01,42
2019-12-01,54
2020-01-01,38
2020-02-01,40
2020-03-01,40
2020-04-01,62
2020-05-01,41
2020-06-01,52
2020-07-01,36
2020-08-01,26
2020-09-01,32
2020-10-01,46
2020-11-01,29
2020-12-01,33
2021-01-01,37
2021-02-01,34
2021-03-01,49
2021-04-01,37
2021-05-01,24
2021-06-01,19
2021-07-01,38
2021-08-01,43
2021-09-01,30
2021-10-01,36
2021-11-01,20
2021-12-01,32
2022-01-01,25
2022-02-01,42
2022-03-01,43
2022-04-01,30
2022-05-01,29
2022-06-01,37
2022-07-01,44
2022-08-01,37
2022-09-01,50
2022-10-01,56
2022-11-01,33
2022-12-01,34
2023-01-01,45
2023-02-01,45
2023-03-01,44
2023-04-01,35
2023-05-01,45
2023-06-01,38
