year_month,count
2015-05-01,2
2015-06-01,6
2015-07-01,23
2015-08-01,11
2015-09-01,18
2015-10-01,10
2015-11-01,9
2015-12-01,12
2016-01-01,12
2016-02-01,11
2016-03-01,14
2016-04-01,19
2016-05-01,14
2016-06-01,8
2016-07-01,6
2016-08-01,10
2016-09-01,18
2016-10-01,12
2016-11-01,10
2016-12-01,23
2017-01-01,27
2017-02-01,29
2017-03-01,35
2017-04-01,24
2017-05-01,23
2017-06-01,16
2017-07-01,19
2017-08-01,26
2017-09-01,28
2017-10-01,29
2017-11-01,36
2017-12-01,54
2018-01-01,39
2018-02-01,43
2018-03-01,42
2018-04-01,32
2018-05-01,40
2018-06-01,30
2018-07-01,32
2018-08-01,32
2018-09-01,53
2018-10-01,43
2018-11-01,61
2018-12-01,45
2019-01-01,49
2019-02-01,44
2019-03-01,34
2019-04-01,57
2019-05-01,70
2019-06-01,52
2019-07-01,72
2019-08-01,71
2019-09-01,37
2019-10-01,43
2019-11-01,52
2019-12-01,44
2020-01-01,55
2020-02-01,52
2020-03-01,48
2020-04-01,71
2020-05-01,60
2020-06-01,68
2020-07-01,52
2020-08-01,45
2020-09-01,64
2020-10-01,71
2020-11-01,88
2020-12-01,84
2021-01-01,78
2021-02-01,60
2021-03-01,60
2021-04-01,88
2021-05-01,63
2021-06-01,54
2021-07-01,61
2021-08-01,59
2021-09-01,73
2021-10-01,81
2021-11-01,108
2021-12-01,107
2022-01-01,69
2022-02-01,53
2022-03-01,47
2022-04-01,143
2022-05-01,129
2022-06-01,82
2022-07-01,82
2022-08-01,65
2022-09-01,65
2022-10-01,80
2022-11-01,69
2022-12-01,101
2023-01-01,114
2023-02-01,124
2023-03-01,171
2023-04-01,106
2023-05-01,99
2023-06-01,71
