year_month,count
2013-06-01,121
2013-07-01,38
2013-08-01,32
2013-09-01,28
2013-10-01,19
2013-11-01,31
2013-12-01,17
2014-01-01,27
2014-02-01,28
2014-03-01,25
2014-04-01,26
2014-05-01,22
2014-06-01,23
2014-07-01,21
2014-08-01,20
2014-09-01,22
2014-10-01,20
2014-11-01,21
2014-12-01,28
2015-01-01,34
2015-02-01,29
2015-03-01,22
2015-04-01,22
2015-05-01,22
2015-06-01,41
2015-07-01,30
2015-08-01,23
2015-09-01,29
2015-10-01,30
2015-11-01,33
2015-12-01,24
2016-01-01,30
2016-02-01,33
2016-03-01,32
2016-04-01,30
2016-05-01,26
2016-06-01,31
2016-07-01,35
2016-08-01,28
2016-09-01,24
2016-10-01,32
2016-11-01,27
2016-12-01,33
2017-01-01,18
2017-02-01,33
2017-03-01,42
2017-04-01,43
2017-05-01,32
2017-06-01,43
2017-07-01,34
2017-08-01,37
2017-09-01,36
2017-10-01,26
2017-11-01,29
2017-12-01,33
2018-01-01,29
2018-02-01,28
2018-03-01,34
2018-04-01,35
2018-05-01,33
2018-06-01,38
2018-07-01,26
2018-08-01,34
2018-09-01,29
2018-10-01,51
2018-11-01,50
2018-12-01,42
2019-01-01,85
2019-02-01,76
2019-03-01,61
2019-04-01,52
2019-05-01,48
2019-06-01,34
2019-07-01,43
2019-08-01,35
2019-09-01,43
2019-10-01,45
2019-11-01,36
2019-12-01,21
2020-01-01,27
2020-02-01,28
2020-03-01,34
2020-04-01,35
2020-05-01,36
2020-06-01,26
2020-07-01,28
2020-08-01,37
2020-09-01,36
2020-10-01,33
2020-11-01,26
2020-12-01,29
2021-01-01,36
2021-02-01,24
2021-03-01,35
2021-04-01,36
2021-05-01,19
2021-06-01,36
2021-07-01,22
2021-08-01,22
2021-09-01,18
2021-10-01,33
2021-11-01,28
2021-12-01,17
2022-01-01,47
2022-02-01,22
2022-03-01,25
2022-04-01,24
2022-05-01,29
2022-06-01,30
2022-07-01,27
2022-08-01,28
2022-09-01,24
2022-10-01,23
2022-11-01,26
2022-12-01,17
2023-01-01,32
2023-02-01,31
2023-03-01,38
2023-04-01,32
2023-05-01,33
2023-06-01,36
