year_month,count
2013-04-01,2
2013-05-01,10
2013-06-01,2
2013-07-01,5
2013-08-01,9
2013-09-01,7
2013-10-01,5
2013-11-01,4
2013-12-01,5
2014-01-01,8
2014-02-01,8
2014-03-01,11
2014-04-01,14
2014-05-01,170
2014-06-01,15
2014-07-01,7
2014-08-01,15
2014-09-01,9
2014-10-01,14
2014-11-01,17
2014-12-01,8
2015-01-01,13
2015-02-01,11
2015-03-01,20
2015-04-01,19
2015-05-01,12
2015-06-01,17
2015-07-01,101
2015-08-01,22
2015-09-01,19
2015-10-01,18
2015-11-01,23
2015-12-01,19
2016-01-01,25
2016-02-01,20
2016-03-01,25
2016-04-01,25
2016-05-01,22
2016-06-01,21
2016-07-01,19
2016-08-01,22
2016-09-01,16
2016-10-01,16
2016-11-01,26
2016-12-01,13
2017-01-01,23
2017-02-01,16
2017-03-01,18
2017-04-01,27
2017-05-01,26
2017-06-01,18
2017-07-01,19
2017-08-01,23
2017-09-01,17
2017-10-01,26
2017-11-01,41
2017-12-01,42
2018-01-01,53
2018-02-01,55
2018-03-01,40
2018-04-01,85
2018-05-01,129
2018-06-01,51
2018-07-01,50
2018-08-01,81
2018-09-01,101
2018-10-01,62
2018-11-01,52
2018-12-01,45
2019-01-01,57
2019-02-01,57
2019-03-01,74
2019-04-01,45
2019-05-01,72
2019-06-01,43
2019-07-01,53
2019-08-01,41
2019-09-01,47
2019-10-01,60
2019-11-01,20
2019-12-01,35
2020-01-01,39
2020-02-01,24
2020-03-01,25
2020-04-01,27
2020-05-01,35
2020-06-01,26
2020-07-01,27
2020-08-01,38
2020-09-01,31
2020-10-01,36
2020-11-01,37
2020-12-01,25
2021-01-01,30
2021-02-01,31
2021-03-01,33
2021-04-01,29
2021-05-01,26
2021-06-01,25
2021-07-01,28
2021-08-01,59
2021-09-01,60
2021-10-01,52
2021-11-01,38
2021-12-01,178
2022-01-01,63
2022-02-01,75
2022-03-01,68
2022-04-01,51
2022-05-01,54
2022-06-01,48
2022-07-01,49
2022-08-01,40
2022-09-01,53
2022-10-01,42
2022-11-01,37
2022-12-01,34
2023-01-01,42
2023-02-01,54
2023-03-01,60
2023-04-01,42
2023-05-01,66
2023-06-01,49
